"","Department","n"
"1","Accounting and information systems",2
"2","Agronomy",1
"3","Anthropology",1
"4","Applied Mathematics",2
"5","Architechture",2
"6","Bangla",1
"7","BBA",12
"8","Botany",1
"9","Buiseness studies",1
"10","Civil engineering",2
"11","Computer science and engineering",8
"12","CSE",1
"13","Disaster management",1
"14","Economics",7
"15","Electrical and electronics engineering",1
"16","English",3
"17","Fashion design",1
"18","Finance and banking",5
"19","Fine Arts",2
"20","Fisheries",1
"21","Food Science",1
"22","Forestry and environmental Science",2
"23","History",4
"24","Hotel management",1
"25","IER",1
"26","International relations ",1
"27","Journalism and mass communication",1
"28","Law",2
"29","Law ",2
"30","Management",1
"31","Marketing",2
"32","Mathematics",4
"33","MBA",1
"34","MBBS",4
"35","Music",2
"36","Pharmacy",3
"37","Philosophy",2
"38","Physics",5
"39","Political Sciences",1
"40","Public administration",3
"41","Sociology",2
"42","Statistics",1
"43","Textile engineering",1
"44","World religion and culture",1
"45","Zoology",1
"46",NA,8
